Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
"The Hartford Financial Services Group, Inc.",thehartford.com,,>#banner .logo a{background:url(/image/company_logo?img_id=0&amp;t=1432357139032) no-repeat;display:block;font-size:0;height:76px;text-indent:-9999em;width:209px;}</style><link rel=,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Hartford%20Financial%20Services%20Group,%20Inc./The%20Hartford%20Financial%20Services%20Group,%20Inc..html",,,,,
"The Travelers Companies, Inc.",travelers.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Travelers%20Companies,%20Inc./The%20Travelers%20Companies,%20Inc..html",,,,,
"Nike, Inc.",nikeinc.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Nike,%20Inc./Nike,%20Inc..html",,,,,
Occidental Petroleum Corporation,oxy.com,,../../_layouts/15/images/DCX/logo.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/Occidental%20Petroleum%20Corporation/Occidental%20Petroleum%20Corporation.html,,,,,
"Avnet, Inc.",avnet.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Avnet,%20Inc./Avnet,%20Inc..html",,,,,
Rite Aid Corporation,riteaid.com,,http://duke-energy.com/images/de_logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Rite%20Aid%20Corporation/Rite%20Aid%20Corporation.html,,,,,
Exelon Corporation,exeloncorp.com,,http://capitalone.com/assets/rwd/img/logo/capitalone-logo-2x-oasis.png,,,,,,,,,,,,,http://forgescan.github.io/web/Exelon%20Corporation/Exelon%20Corporation.html,,,,,
Qualcomm Incorporated,qualcomm.com,,.dp-logo {http://www.raytheon.com/rtnwcm/groups/secure/documents/site/rtn_logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Qualcomm%20Incorporated/Qualcomm%20Incorporated.html,,,,,
Emerson Electric Co.,emerson.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Emerson%20Electric%20Co./Emerson%20Electric%20Co..html,,,,,
Northrop Grumman Corporation,northropgrumman.com,,http://emc.com//www.emc.com/logout.htm,,,,,,,,,,,,,http://forgescan.github.io/web/Northrop%20Grumman%20Corporation/Northrop%20Grumman%20Corporation.html,,,,,
Duke Energy Corporation,duke-energy.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Duke%20Energy%20Corporation/Duke%20Energy%20Corporation.html,,,,,
Capital One Financial Corporation,capitalone.com,,http://alcoa.com/common/images/general/top_alcoa_logo_wide.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Capital%20One%20Financial%20Corporation/Capital%20One%20Financial%20Corporation.html,,,,,
Aflac Incorporated,aflac.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Aflac%20Incorporated/Aflac%20Incorporated.html,,,,,
