Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
Jarden Corporation,jarden.com,,,,,,,,,,,,,,,
"Mohawk Industries, Inc.",mohawkind.com,,,,,,,,,,,,,,,
Terex Corporation,terex.com,,,,,,,,,,,,,,,
Northeast Utilities,nu.com,,,,,,,,,,,,,,,
"KBR, Inc.",kbr.com,,,,,,,,,,,,,,,
Fifth Third Bancorp,53.com,,,,,,,,,,,,,,,
UGI Corporation,ugicorp.com,,,,,,,,,,,,,,,
"CBRE Group, Inc.",cbre.com,,,,,,,,,,,,,,,
Quest Diagnostics Incorporated,questdiagnostics.com,,,,,,,,,,,,,,,
Peabody Energy Corporation,peabodyenergy.com,,,,,,,,,,,,,,,
The Hershey Company,thehersheycompany.com,,,,,,,,,,,,,,,
Boston Scientific Corporation,bostonscientific.com,,,,,,,,,,,,,,,
"FMC Technologies, Inc.",fmctechnologies.com,,,,,,,,,,,,,,,
"The Interpublic Group of Companies, Inc.",interpublic.com,,,,,,,,,,,,,,,
Commercial Metals Company,cmc.com,,,,,,,,,,,,,,,
"The Pantry, Inc.",thepantry.com,,,,,,,,,,,,,,,
"Owens-Illinois, Inc.",o-i.com,,,,,,,,,,,,,,,
American Family Ins. Group,amfam.com,,,,,,,,,,,,,,,
Ralph Lauren Corporation,ralphlauren.com,,,,,,,,,,,,,,,
Biogen Idec Inc.,biogenidec.com,,,,,,,,,,,,,,,
"PetSmart, Inc.",petm.com,,,,,,,,,,,,,,,
Mylan Inc.,mylan.com,,,,,,,,,,,,,,,
Symantec Corporation,symantec.com,,,,,,,,,,,,,,,
Ameren Corporation,ameren.com,,,,,,,,,,,,,,,
